Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.563000,26,124,3.073000,24,184,0.753000,50,83
Sample02,0.459000,24,116,2.711000,22,180,26.799000,58,95
Sample03,0.502000,34,180,2.535000,21,178,0.629000,50,99
Sample04,0.327000,16,64,2.702000,23,182,0.686000,50,83
Sample05,0.343000,24,108,2.375000,23,182,0.559000,48,85
Sample06,0.389000,25,126,2.415000,20,176,0.646000,58,103
Sample07,0.473000,29,142,2.609000,24,184,0.638000,47,84
Sample08,0.574000,38,200,2.480000,21,178,0.638000,50,95
Sample09,0.467000,38,192,2.491000,22,180,0.606000,49,94
Sample10,0.551000,33,170,2.642000,21,178,0.783000,49,90
