Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.487000,23,106,3.575000,25,186,0.873000,48,85
Sample02,0.450000,26,120,2.689000,24,184,0.704000,50,79
Sample03,0.458000,30,152,2.670000,24,184,0.687000,47,84
Sample04,0.530000,34,172,2.647000,24,184,0.679000,49,90
Sample05,0.524000,32,164,2.672000,21,178,0.661000,48,85
Sample06,0.541000,36,184,3.045000,21,178,0.945000,56,97
Sample07,0.576000,29,146,3.259000,22,180,0.804000,53,102
Sample08,0.532000,30,152,2.773000,20,176,0.662000,57,102
Sample09,0.568000,38,200,2.619000,19,174,0.836000,58,95
Sample10,0.752000,41,222,3.524000,20,176,0.830000,46,83
