Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.534000,26,124,2.976000,24,184,0.780000,50,83
Sample02,0.363000,24,116,2.715000,22,180,0.778000,58,95
Sample03,0.528000,34,180,2.729000,21,178,0.587000,50,99
Sample04,0.264000,16,64,2.491000,23,182,0.711000,50,83
Sample05,0.368000,24,108,2.410000,23,182,0.543000,48,85
Sample06,0.412000,25,126,2.353000,20,176,0.689000,58,103
Sample07,3.044000,29,142,16.619000,24,184,4.380000,47,84
Sample08,3.833000,38,200,127.779000,21,178,4.292000,50,95
Sample09,3.740000,38,192,17.351000,22,180,4.244000,49,94
Sample10,0.541000,33,170,2.752000,21,178,0.751000,49,90
